F0159/MID1/,F0835/MID2/,0
F0206/MID1/,F0206/MID9/,1
F0957/MID5/,F0997/MID1/,0
F0513/MID6/,F0513/MID10/,1
F0114/MID8/,F0114/MID5/,1
F0090/MID1/,F0090/MID12/,1
F0836/MID10/,F0836/MID2/,1
F0361/MID2/,F0751/MID2/,0
F0448/MID5/,F0448/MID3/,1
F0787/MID1/,F0150/MID4/,0
F0534/MID1/,F0599/MID5/,0
F0950/MID3/,F0950/MID5/,1
F0573/MID1/,F0034/MID4/,0
F0648/MID4/,F0648/MID2/,1
F0738/MID5/,F0995/MID9/,0
F0064/MID4/,F0967/MID2/,0
F0020/MID8/,F0020/MID10/,1
F0421/MID9/,F0421/MID2/,1
F0400/MID8/,F0400/MID3/,1
F0602/MID9/,F0665/MID2/,0
F0740/MID3/,F0740/MID9/,1
F0174/MID5/,F0174/MID2/,1
F0086/MID3/,F0851/MID6/,0
F0401/MID2/,F0401/MID9/,1
F0089/MID2/,F0254/MID2/,0
F0020/MID2/,F0020/MID8/,1
F0020/MID8/,F0020/MID6/,1
F0648/MID4/,F0351/MID4/,0
F0349/MID3/,F0349/MID10/,1
F0766/MID4/,F0766/MID6/,1
F0008/MID3/,F0008/MID5/,1
F0754/MID5/,F0896/MID2/,0
F0215/MID5/,F0215/MID8/,1
F0402/MID3/,F0402/MID7/,1
F0940/MID1/,F0552/MID11/,0
F0602/MID2/,F0267/MID4/,0
F0764/MID4/,F0197/MID3/,0
F0295/MID3/,F0295/MID7/,1
F0590/MID8/,F0590/MID4/,1
F0752/MID1/,F0752/MID6/,1
F0751/MID1/,F0539/MID2/,0
F0617/MID5/,F0100/MID2/,0
F0285/MID6/,F0793/MID1/,0
F0990/MID8/,F0990/MID10/,1
F0927/MID3/,F0927/MID4/,1
F0991/MID6/,F0991/MID8/,1
F0468/MID3/,F0806/MID2/,0
F0020/MID5/,F0020/MID8/,1
F0752/MID6/,F0215/MID1/,0
F0479/MID2/,F0775/MID1/,0
F0185/MID1/,F0861/MID3/,0
F0966/MID2/,F0375/MID3/,0
F0598/MID4/,F0598/MID2/,1
F0966/MID2/,F0390/MID1/,0
F0293/MID9/,F0293/MID5/,1
F0881/MID4/,F0881/MID6/,1
F0578/MID2/,F0578/MID4/,1
F0617/MID3/,F0617/MID5/,1
F0425/MID6/,F0425/MID4/,1
F0248/MID3/,F0473/MID1/,0
F0209/MID3/,F0956/MID4/,0
F0926/MID3/,F0193/MID4/,0
F0476/MID3/,F0552/MID11/,0
F0773/MID5/,F0773/MID4/,1
F0345/MID3/,F0749/MID2/,0
F0417/MID5/,F0997/MID1/,0
F0139/MID1/,F0022/MID1/,0
F0456/MID1/,F0376/MID5/,0
F0206/MID9/,F0206/MID1/,1
F0004/MID5/,F0729/MID1/,0
F0376/MID2/,F0376/MID10/,1
F0513/MID9/,F0954/MID4/,0
F0803/MID4/,F0987/MID4/,0
F0770/MID1/,F0299/MID3/,0
F0423/MID1/,F0915/MID2/,0
F0602/MID4/,F0617/MID6/,0
F0879/MID2/,F0103/MID8/,0
F0295/MID6/,F0295/MID3/,1
F0180/MID1/,F0610/MID4/,0
F0991/MID8/,F0991/MID13/,1
F0413/MID6/,F0413/MID3/,1
F0811/MID3/,F0550/MID2/,0
F0174/MID2/,F0174/MID7/,1
F0873/MID4/,F0873/MID10/,1
F0597/MID3/,F0597/MID5/,1
F0023/MID3/,F0789/MID1/,0
F0351/MID4/,F0351/MID2/,1
F0690/MID9/,F0690/MID5/,1
F0457/MID6/,F0163/MID1/,0
F0660/MID6/,F0660/MID1/,1
F0991/MID8/,F0991/MID5/,1
F0750/MID3/,F0750/MID7/,1
F0737/MID2/,F0087/MID1/,0
F0567/MID6/,F0567/MID8/,1
F0695/MID2/,F0465/MID2/,0
F0660/MID1/,F0660/MID6/,1
F0838/MID2/,F0056/MID4/,0
F0991/MID5/,F0991/MID8/,1
F0720/MID3/,F0079/MID2/,0
F0600/MID1/,F0359/MID2/,0
F0987/MID15/,F0005/MID1/,0
F0459/MID1/,F0421/MID5/,0
F0880/MID1/,F0125/MID5/,0
F0343/MID1/,F0403/MID3/,0
F0461/MID1/,F0361/MID2/,0
F0703/MID4/,F0836/MID1/,0
F0421/MID4/,F0121/MID3/,0
F0192/MID4/,F0192/MID8/,1
F0701/MID2/,F0701/MID5/,1
F0276/MID2/,F0762/MID1/,0
F0215/MID9/,F0542/MID5/,0
F0786/MID3/,F0755/MID4/,0
F0873/MID9/,F0873/MID10/,1
F0146/MID4/,F0851/MID2/,0
F0475/MID3/,F0475/MID2/,1
F0103/MID5/,F0763/MID3/,0
F0426/MID4/,F0426/MID3/,1
F0769/MID6/,F0616/MID4/,0
F0424/MID3/,F0020/MID9/,0
F0368/MID3/,F0348/MID1/,0
F0560/MID2/,F0516/MID1/,0
F0100/MID3/,F0838/MID1/,0
F0314/MID3/,F0234/MID5/,0
F0043/MID3/,F0789/MID1/,0
F0608/MID4/,F0020/MID9/,0
F0722/MID6/,F0722/MID2/,1
F0770/MID4/,F0004/MID5/,0
F0701/MID2/,F0701/MID7/,1
F0413/MID3/,F0413/MID6/,1
F0250/MID3/,F0796/MID2/,0
F0902/MID5/,F0902/MID1/,1
F0120/MID5/,F0845/MID3/,0
F0434/MID3/,F0578/MID4/,0
F0684/MID1/,F0777/MID3/,0
F0231/MID14/,F0231/MID1/,1
F0197/MID1/,F0475/MID2/,0
F0993/MID3/,F0993/MID5/,1
F0020/MID8/,F0020/MID3/,1
F0208/MID4/,F0639/MID5/,0
