fold,label,p1,p2
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID3/P11518_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID3/P01021_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID3/P01019_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID3/P01020_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID3/P11519_face5.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID3/P11520_face2.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P11520_face4.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P01025_face4.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P11518_face1.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P11519_face6.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P01023_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P11521_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P11523_face1.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID4/P01024_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID5/P01025_face3.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID5/P01027_face2.jpg
5,1,F0099/MID10/P11536_face1.jpg,F0099/MID5/P11519_face4.jpg
4,1,F0766/MID6/P08092_face9.jpg,F0766/MID2/P08096_face4.jpg
2,1,F0645/MID4/P06795_face1.jpg,F0645/MID8/P06799_face1.jpg
2,1,F0645/MID4/P06795_face1.jpg,F0645/MID8/P06798_face2.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID7/P10433_face5.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID7/P10429_face6.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID7/P10437_face4.jpg
5,1,F0990/MID10/P10428_face3.jpg,F0990/MID7/P10435_face6.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID7/P10433_face5.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID7/P10429_face6.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID7/P10437_face4.jpg
5,1,F0990/MID10/P10431_face5.jpg,F0990/MID7/P10435_face6.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID7/P10433_face5.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID7/P10429_face6.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID7/P10437_face4.jpg
5,1,F0990/MID10/P10434_face2.jpg,F0990/MID7/P10435_face6.jpg
2,1,F0873/MID10/P09222_face2.jpg,F0873/MID2/P09215_face7.jpg
2,1,F0873/MID10/P09222_face2.jpg,F0873/MID6/P09215_face2.jpg
2,1,F0873/MID10/P09222_face2.jpg,F0873/MID6/P09216_face8.jpg
2,1,F0873/MID10/P09222_face2.jpg,F0873/MID6/P09220_face5.jpg
2,1,F0873/MID10/P09222_face2.jpg,F0873/MID6/P09219_face4.jpg
2,1,F0873/MID10/P09222_face2.jpg,F0873/MID7/P09215_face6.jpg
5,1,F0578/MID2/P10601_face1.jpg,F0578/MID5/P10599_face2.jpg
5,1,F0578/MID2/P10601_face1.jpg,F0578/MID5/P10602_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P10488_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11692_face12.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11708_face3.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P10486_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11705_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11699_face3.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11710_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11706_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11698_face3.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11700_face3.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11696_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11709_face3.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P10487_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11710_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11701_face5.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11700_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11705_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11697_face5.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11692_face7.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11711_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11696_face5.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11708_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P10491_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11699_face1.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11707_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11711_face2.jpg
4,1,F0995/MID14/P11702_face5.jpg,F0995/MID2/P11701_face11.jpg
